Reservoir,Year,Month,Flow_MCM
Rervoir_X,1998,Jan,74.108
Rervoir_X,1998,Feb,39.302
Rervoir_X,1998,Mar,43.928
Rervoir_X,1998,Apr,30.563
Rervoir_X,1998,May,55.993
Rervoir_X,1998,Jun,78.457
Rervoir_X,1998,Jul,229.861
Rervoir_X,1998,Aug,466.297
Rervoir_X,1998,Sep,260.065
Rervoir_X,1998,Oct,229.182
Rervoir_X,1998,Nov,88.997
Rervoir_X,1998,Dec,40.265
Rervoir_X,1999,Jan,26.97
Rervoir_X,1999,Feb,14.206
Rervoir_X,1999,Mar,19.563
Rervoir_X,1999,Apr,15.685
Rervoir_X,1999,May,44.395
Rervoir_X,1999,Jun,92.149
Rervoir_X,1999,Jul,213.166
Rervoir_X,1999,Aug,291.106
Rervoir_X,1999,Sep,154.377
Rervoir_X,1999,Oct,194.372
Rervoir_X,1999,Nov,67.405
Rervoir_X,1999,Dec,29.489
Rervoir_X,2000,Jan,17.036
Rervoir_X,2000,Feb,9.273
Rervoir_X,2000,Mar,6.377
Rervoir_X,2000,Apr,18.854
Rervoir_X,2000,May,53.29
Rervoir_X,2000,Jun,77.237
Rervoir_X,2000,Jul,168.544
Rervoir_X,2000,Aug,221.715
Rervoir_X,2000,Sep,227.618
Rervoir_X,2000,Oct,202.14
Rervoir_X,2000,Nov,94.646
Rervoir_X,2000,Dec,41.151
Rervoir_X,2001,Jan,-     
Rervoir_X,2001,Feb,-     
Rervoir_X,2001,Mar,-     
Rervoir_X,2001,Apr,-     
Rervoir_X,2001,May,-     
Rervoir_X,2001,Jun,-     
Rervoir_X,2001,Jul,-     
Rervoir_X,2001,Aug,-     
Rervoir_X,2001,Sep,-     
Rervoir_X,2001,Oct,-     
Rervoir_X,2001,Nov,-     
Rervoir_X,2001,Dec,-     
Rervoir_X,2002,Jan,26.202
Rervoir_X,2002,Feb,14.233
Rervoir_X,2002,Mar,19.373
Rervoir_X,2002,Apr,25.236
Rervoir_X,2002,May,19.11
Rervoir_X,2002,Jun,76.96
Rervoir_X,2002,Jul,154.731
Rervoir_X,2002,Aug,204.649
Rervoir_X,2002,Sep,158.736
Rervoir_X,2002,Oct,58.671
Rervoir_X,2002,Nov,31.709
Rervoir_X,2002,Dec,33.786
Rervoir_X,2003,Jan,28.485
Rervoir_X,2003,Feb,12.771
Rervoir_X,2003,Mar,24.132
Rervoir_X,2003,Apr,25.95
Rervoir_X,2003,May,15.379
Rervoir_X,2003,Jun,62.992
Rervoir_X,2003,Jul,216.876
Rervoir_X,2003,Aug,228.056
Rervoir_X,2003,Sep,245.177
Rervoir_X,2003,Oct,82.44
Rervoir_X,2003,Nov,33.024
